trial_number,params,max_drawdown,win_rate,total_trades,compound_return,score
34,"{'vwap_dev_threshold': 0.004643850718142521, 'stop_loss': 0.01591601523976441, 'take_profit': 0.029826085032097244, 'max_hold_minutes': 25, 'min_volume': 1199, 'trailing_stop': 0.004910993478448462, 'max_trades_per_day': 3}",3.3234267989901125e-05,0.5,12,1.9694708128062496e-05,1.9694053588854587e-05
35,"{'vwap_dev_threshold': 0.00499255798218075, 'stop_loss': 0.009430698303805767, 'take_profit': 0.029758215401330307, 'max_hold_minutes': 23, 'min_volume': 1247, 'trailing_stop': 0.0049963436558740975, 'max_trades_per_day': 2}",5.7313787080056504e-05,0.25,8,-5.238839327796539e-05,-2.6192695350373793e-05
36,"{'vwap_dev_threshold': 0.004707118550720682, 'stop_loss': 0.011868767109925071, 'take_profit': 0.021596963743034332, 'max_hold_minutes': 26, 'min_volume': 1553, 'trailing_stop': 0.003573503056806813, 'max_trades_per_day': 3}",2.914056220910404e-05,0.4166666666666667,12,2.0613666456968233e-05,1.7177554802615404e-05
37,"{'vwap_dev_threshold': 0.001050303611119607, 'stop_loss': 0.012487276156862622, 'take_profit': 0.02200423314235846, 'max_hold_minutes': 18, 'min_volume': 1686, 'trailing_stop': 0.0036953743520908764, 'max_trades_per_day': 2}",4.700644791175354e-05,0.2222222222222222,9,-3.1989125616758445e-05,-1.421672085404062e-05
38,"{'vwap_dev_threshold': 0.004731748186660224, 'stop_loss': 0.011854082858908377, 'take_profit': 0.021575335022737535, 'max_hold_minutes': 26, 'min_volume': 1944, 'trailing_stop': 0.004282478955138065, 'max_trades_per_day': 5}",0.00013246692703003645,0.35,20,-0.00011007982969206798,-7.704567342871048e-05
39,"{'vwap_dev_threshold': 0.003914838848179799, 'stop_loss': 0.009727933990919969, 'take_profit': 0.028446694189361445, 'max_hold_minutes': 21, 'min_volume': 1519, 'trailing_stop': 0.003559102276886893, 'max_trades_per_day': 2}",5.704076190013439e-05,0.125,8,-5.704238878628753e-05,-1.4259783761242639e-05
40,"{'vwap_dev_threshold': 0.004494510427209628, 'stop_loss': 0.014080895897185303, 'take_profit': 0.02401328497689064, 'max_hold_minutes': 29, 'min_volume': 863, 'trailing_stop': 0.004596036342181532, 'max_trades_per_day': 3}",2.9140414077812988e-05,0.4166666666666667,12,1.560235032283183e-05,1.3001579719902364e-05
41,"{'vwap_dev_threshold': 0.0045114940889986925, 'stop_loss': 0.014155824865595678, 'take_profit': 0.024006440017618508, 'max_hold_minutes': 29, 'min_volume': 827, 'trailing_stop': 0.0046350194379741645, 'max_trades_per_day': 3}",2.9140414077812988e-05,0.4166666666666667,12,1.560235032283183e-05,1.3001579719902364e-05
42,"{'vwap_dev_threshold': 0.004124100014657658, 'stop_loss': 0.013904511583010107, 'take_profit': 0.024469051900183458, 'max_hold_minutes': 26, 'min_volume': 1172, 'trailing_stop': 0.008561118308291014, 'max_trades_per_day': 3}",4.679319394999766e-05,0.3333333333333333,12,-1.683978581838403e-05,-1.1225998554013436e-05
43,"{'vwap_dev_threshold': 0.004803485496144152, 'stop_loss': 0.01309380783266446, 'take_profit': 0.021657753907945262, 'max_hold_minutes': 30, 'min_volume': 843, 'trailing_stop': 0.004610617862611138, 'max_trades_per_day': 3}",2.8732267989980757e-05,0.5,12,3.05940950959614e-05,3.059321605822219e-05
44,"{'vwap_dev_threshold': 0.004870047184669252, 'stop_loss': 0.012932374068529089, 'take_profit': 0.022305614992825618, 'max_hold_minutes': 23, 'min_volume': 1409, 'trailing_stop': 0.004068407464833218, 'max_trades_per_day': 3}",8.554113499104617e-05,0.3333333333333333,12,-5.7092216759554216e-05,-3.805822201768896e-05
45,"{'vwap_dev_threshold': 0.0047953645430662654, 'stop_loss': 0.011700587899531243, 'take_profit': 0.025875565887093336, 'max_hold_minutes': 31, 'min_volume': 1130, 'trailing_stop': 0.003563466117503737, 'max_trades_per_day': 3}",2.8732267989980757e-05,0.4166666666666667,12,2.262475304842934e-05,1.8853419156634624e-05
46,"{'vwap_dev_threshold': 0.004806315360525629, 'stop_loss': 0.011576999932576854, 'take_profit': 0.026410486738465112, 'max_hold_minutes': 25, 'min_volume': 2014, 'trailing_stop': 0.003449179213621394, 'max_trades_per_day': 4}",9.052516686002491e-05,0.25,16,-8.381802945304696e-05,-4.190522090597242e-05
47,"{'vwap_dev_threshold': 0.004978687934768629, 'stop_loss': 0.008278094897600318, 'take_profit': 0.019865464786763806, 'max_hold_minutes': 31, 'min_volume': 1182, 'trailing_stop': 0.0030142283404467106, 'max_trades_per_day': 3}",7.022609070256734e-05,0.3333333333333333,12,-3.264639409771484e-05,-2.1762734312721214e-05
48,"{'vwap_dev_threshold': 0.0034156721104362958, 'stop_loss': 0.012467211520538875, 'take_profit': 0.016046487338909995, 'max_hold_minutes': 37, 'min_volume': 3152, 'trailing_stop': 0.0037357187338179242, 'max_trades_per_day': 4}",0.00010082233793989871,0.0625,16,-0.0001008274208535184,-1.2602156899652437e-05
49,"{'vwap_dev_threshold': 0.001600501283414698, 'stop_loss': 0.011331266016793465, 'take_profit': 0.026100390782639822, 'max_hold_minutes': 27, 'min_volume': 1488, 'trailing_stop': 0.00329299172798576, 'max_trades_per_day': 2}",4.841381492399282e-05,0.2222222222222222,9,-3.790139211857196e-05,-1.684424763003936e-05
50,"{'vwap_dev_threshold': 0.004813024715112268, 'stop_loss': 0.009786177164249036, 'take_profit': 0.020050633815490018, 'max_hold_minutes': 15, 'min_volume': 1800, 'trailing_stop': 0.004386519200395762, 'max_trades_per_day': 3}",2.8732267989980757e-05,0.4166666666666667,12,3.2153875128666116e-05,2.6794126062424173e-05
51,"{'vwap_dev_threshold': 0.004775014287634833, 'stop_loss': 0.009807646909833614, 'take_profit': 0.02061763805671457, 'max_hold_minutes': 16, 'min_volume': 1879, 'trailing_stop': 0.004135868970154971, 'max_trades_per_day': 3}",2.8732267989980757e-05,0.4166666666666667,12,2.5902953585751588e-05,2.1585174445956196e-05
52,"{'vwap_dev_threshold': 0.004795898446788429, 'stop_loss': 0.00954775675221803, 'take_profit': 0.02062112981921156, 'max_hold_minutes': 15, 'min_volume': 2142, 'trailing_stop': 0.004797563785337369, 'max_trades_per_day': 3}",3.3234267989901125e-05,0.4166666666666667,12,2.3848337726386414e-05,1.9872954286949418e-05
53,"{'vwap_dev_threshold': 0.00479543330749497, 'stop_loss': 0.007489080529729511, 'take_profit': 0.020029129922496544, 'max_hold_minutes': 15, 'min_volume': 2322, 'trailing_stop': 0.004384610891997686, 'max_trades_per_day': 3}",2.8732267989980757e-05,0.4166666666666667,12,2.8350220228868268e-05,2.3624504718952568e-05
54,"{'vwap_dev_threshold': 0.004873216061754554, 'stop_loss': 0.007408384961491366, 'take_profit': 0.019650073565424968, 'max_hold_minutes': 15, 'min_volume': 2499, 'trailing_stop': 0.009935397507377134, 'max_trades_per_day': 3}",0.00011199793208012125,0.25,12,-8.391458681053682e-05,-4.195259427517134e-05
55,"{'vwap_dev_threshold': 0.00416692668791302, 'stop_loss': 0.009126163014668206, 'take_profit': 0.01775854083779708, 'max_hold_minutes': 17, 'min_volume': 2185, 'trailing_stop': 0.004838215512992051, 'max_trades_per_day': 3}",3.927717688988195e-05,0.3333333333333333,12,6.554391500071135e-06,4.369422708051188e-06
